"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Chst1",0.000617407081345867,-1.16844699825527,0.161,0.373,1,"Med.A1","Chst1"
"Rasgef1b",0.000619647434706455,0.516736048039157,0.984,0.91,1,"Med.A1","Rasgef1b"
"Wasl",0.000623484121028318,-0.575818365915558,0.484,0.68,1,"Med.A1","Wasl"
"Ptprt",0.00062408252380244,-0.392133010682295,1,0.978,1,"Med.A1","Ptprt"
"Gas2l3",0.00063339619550174,-1.79481365017597,0.177,0.387,1,"Med.A1","Gas2l3"
"Kcnab1",0.000643951558009311,-0.721617170008143,0.081,0.278,1,"Med.A1","Kcnab1"
"Adssl1",0.000673649537998156,0.472252959498484,0.452,0.254,1,"Med.A1","Adssl1"
"Capn2",0.000675329902984521,-0.410892696172292,0.468,0.667,1,"Med.A1","Capn2"
"Slc7a14",0.000678517066116699,-0.575139397690881,0.581,0.767,1,"Med.A1","Slc7a14"
"Sptssb",0.000699395339715176,-0.815889547204207,0.21,0.427,1,"Med.A1","Sptssb"
"Hlcs",0.000704659665369722,-0.706024059675216,0.726,0.839,1,"Med.A1","Hlcs"
"Znrf2",0.000765290698288451,-1.63628246542802,0.21,0.413,1,"Med.A1","Znrf2"
"Uri1",0.000767476658272717,-0.34067026295513,0.887,0.956,1,"Med.A1","Uri1"
"Gtf2i",0.000787251746629295,-0.350887789551151,0.952,0.962,1,"Med.A1","Gtf2i"
"Anks1b",0.000797496923811684,-0.252475240084688,1,0.999,1,"Med.A1","Anks1b"
"Rap1gap2",0.000809415013045587,-0.432902005308991,0.935,0.946,1,"Med.A1","Rap1gap2"
"Mtmr6",0.000820303821344803,-0.970405673932146,0.242,0.449,1,"Med.A1","Mtmr6"
"Fbxw2",0.000822077845468743,-0.392221911372356,0.548,0.68,1,"Med.A1","Fbxw2"
"Slc34a2",0.000823479887827908,0.361625274190469,0.968,0.965,1,"Med.A1","Slc34a2"
"Gng12",0.000831896072094607,0.578359629612876,0.597,0.406,1,"Med.A1","Gng12"
"Cpa6",0.000857449150904928,1.0468895947611,0.548,0.394,1,"Med.A1","Cpa6"
"Psmc4",0.000911111444373348,-0.525365164581496,0.371,0.615,1,"Med.A1","Psmc4"
"Fcrla",0.000921269024952176,0.39120410488308,0.258,0.122,1,"Med.A1","Fcrla"
"Acsl3",0.000926348402789136,0.876701768520753,0.742,0.598,1,"Med.A1","Acsl3"
"Aff3",0.000934160343346858,-0.271038262474335,0.919,0.971,1,"Med.A1","Aff3"
"Smyd2",0.000936950409976054,-0.887716286260277,0.387,0.592,1,"Med.A1","Smyd2"
"Sos1",0.000940243980967734,-0.451630522708072,0.661,0.846,1,"Med.A1","Sos1"
"Atg5",0.000951540244085051,-0.729158058763287,0.403,0.61,1,"Med.A1","Atg5"
"Flt3",0.000955537760156505,-0.330053076948506,0.774,0.884,1,"Med.A1","Flt3"
"St8sia6",0.000963298719584621,0.673375740685107,0.435,0.271,1,"Med.A1","St8sia6"
"Nat8l",0.000963434952523215,-0.593738055714905,0.355,0.585,1,"Med.A1","Nat8l"
"Dnm3",0.000973197321195042,-0.356014410966642,0.968,0.983,1,"Med.A1","Dnm3"
"Pygb",0.00100105182679262,-0.866541557118425,0.258,0.471,1,"Med.A1","Pygb"
"Tmem108",0.001002294868163,0.563981714215235,0.903,0.864,1,"Med.A1","Tmem108"
"Npas3",0.00103547989384303,0.433904616305107,0.984,0.945,1,"Med.A1","Npas3"
"Tnr",0.00103565431651554,-0.457019061401271,0.855,0.923,1,"Med.A1","Tnr"
