"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Immp2l",1.78439804473933e-49,-2.20622882422717,0.606,0.993,2.11433324321163e-45,"Med.A1","Immp2l"
"Hecw2",1.91077827877163e-49,-3.06121400546589,0.486,0.956,2.26408118251651e-45,"Med.A1","Hecw2"
"Slc6a15",1.92967576482035e-49,-2.75373260702548,0.477,0.962,2.28647281373563e-45,"Med.A1","Slc6a15"
"Hsf1",2.17911785641661e-49,-4.27726887634941,0.101,0.9,2.58203674806804e-45,"Med.A1","Hsf1"
"Map1b",2.21976308606389e-49,0.84148332868997,1,1,2.63019728067711e-45,"Med.A1","Map1b"
"Rev3l",2.36968051815075e-49,-2.49971734897442,0.541,0.978,2.80783444595682e-45,"Med.A1","Rev3l"
"Gria3",2.46449842189274e-49,-2.35645625124331,0.881,0.99,2.92018418010071e-45,"Med.A1","Gria3"
"Pde10a",2.76818200595416e-49,-3.72371762008941,0.541,0.945,3.28001885885508e-45,"Med.A1","Pde10a"
"Esrrg",3.09120012237815e-49,-1.68451934048578,0.972,0.996,3.66276302500587e-45,"Med.A1","Esrrg"
"Agmo",3.78604248652848e-49,-2.85123394112607,0.55,0.965,4.4860817422876e-45,"Med.A1","Agmo"
"4930402H24Rik",4.07464256312109e-49,-2.93454312108684,0.413,0.958,4.82804397304218e-45,"Med.A1","4930402H24Rik"
"Kdm4c",4.63294657657264e-49,-2.10228388060078,0.569,0.985,5.48957839858092e-45,"Med.A1","Kdm4c"
"Luc7l3",6.0866310732815e-49,-1.93972245034013,0.743,0.996,7.21204915873125e-45,"Med.A1","Luc7l3"
"Cox7c",6.15669758229064e-49,1.45078675228672,1,0.978,7.29507096525618e-45,"Med.A1","Cox7c"
"Cirbp",8.1797333105959e-49,-1.7398389796987,0.78,0.993,9.69216599972509e-45,"Med.A1","Cirbp"
"Gne",8.46913444033316e-49,-1.98077737744614,0.761,0.987,1.00350773983508e-44,"Med.A1","Gne"
"Crim1",9.40400358437981e-49,-2.89412604786628,0.615,0.973,1.11428038471316e-44,"Med.A1","Crim1"
"Rbfox1",9.83656211797931e-49,-3.489154202679,0.505,0.94,1.16553424535937e-44,"Med.A1","Rbfox1"
"Clstn1",1.21374678202384e-48,1.31557957705008,1,0.992,1.43816856202005e-44,"Med.A1","Clstn1"
"Rimbp2",1.22513261351794e-48,-2.18501584273631,0.633,0.982,1.45165963375741e-44,"Med.A1","Rimbp2"
"Shisa9",1.30726664597263e-48,-2.61342026288284,0.578,0.973,1.54898024881297e-44,"Med.A1","Shisa9"
"Tbc1d5",1.47856931519068e-48,-2.44179418682298,0.606,0.976,1.75195678156944e-44,"Med.A1","Tbc1d5"
"Syn3",1.7144406850951e-48,-2.24458613766767,0.55,0.962,2.03144076776918e-44,"Med.A1","Syn3"
"Gnal",1.76436175772376e-48,-3.02210275578959,0.596,0.955,2.09059224672688e-44,"Med.A1","Gnal"
"Got1",1.85247886587885e-48,1.63869774326978,1,0.871,2.19500220817985e-44,"Med.A1","Got1"
"Sncb",2.22333933223751e-48,1.37075198099956,1,0.954,2.63443477476823e-44,"Med.A1","Sncb"
"Cdk6",2.39664602698006e-48,-3.53928482256291,0.44,0.935,2.83978587736867e-44,"Med.A1","Cdk6"
"Cacna1b",2.55231584121263e-48,-2.53564354713021,0.798,0.98,3.02423904025285e-44,"Med.A1","Cacna1b"
"Atp6v1b2",3.01004438800394e-48,1.73586459497874,0.991,0.836,3.56660159534587e-44,"Med.A1","Atp6v1b2"
"Eml4",3.09394877405188e-48,-3.25993454020611,0.505,0.949,3.66601990237408e-44,"Med.A1","Eml4"
"Dennd1a",3.90913098903081e-48,-2.3476497725724,0.835,0.993,4.63192930890261e-44,"Med.A1","Dennd1a"
"Dtna",4.21608965255345e-48,-2.85307812216497,0.413,0.951,4.99564462931058e-44,"Med.A1","Dtna"
"Prkce",6.03183722113598e-48,-2.33875041985557,0.982,0.992,7.14712392332402e-44,"Med.A1","Prkce"
"Atp5g3",7.59216481109682e-48,1.55129825689867,1,0.907,8.99595608466862e-44,"Med.A1","Atp5g3"
